SET
line_id,line_start_date,line_end_date,radius_username,jbill_so_value,oss_so_value
791,2009-04-07,,3123881897@uscc.net,SO-1291,SO-00117
792,2009-04-07,,3123884039@uscc.net,SO-1291,SO-00117
924,2008-10-21,,3123882508@uscc.net,SO-15Q,
925,2008-10-21,,3123882474@uscc.net,SO-15Q,
926,2008-10-21,,3123882486@uscc.net,SO-15Q,
928,2008-10-21,,3123882304@uscc.net,SO-15Q,TEC as of 10/22
930,2008-10-21,,3123882314@uscc.net,SO-15Q,TEC as of 10/22
931,2008-10-21,,3123882324@uscc.net,SO-15Q,TEC as of 10/22
933,2008-10-21,,3123882342@uscc.net,SO-15Q,TEC as of 10/22
940,2008-10-21,,3123882390@uscc.net,SO-15Q,TEC as of 10/22
941,2008-10-21,,3123882394@uscc.net,SO-15Q,TEC as of 10/22
958,2008-10-27,,3123882487@uscc.net,SO-15Q,
964,2008-10-27,,3123882482@uscc.net,SO-15Q,
966,2008-10-27,,3123882492@uscc.net,SO-15Q,
969,2008-10-27,,3123882412@uscc.net,SO-15Q,
970,2008-10-27,,3123882416@uscc.net,SO-15Q,
974,2008-10-27,,3123882477@uscc.net,SO-15Q,
978,2008-12-28,,3123882654@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
979,2008-12-28,,3123882685@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
980,2008-12-28,,3123882616@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
982,2008-12-28,,3123882631@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
987,2008-12-28,,3123882817@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
988,2008-12-28,,3123882813@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
989,2008-12-28,,3123882810@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
996,2008-12-28,,3123882797@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
997,2008-12-28,,3123882789@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
999,2008-12-28,,3123882825@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1002,2008-12-28,,3123882821@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1004,2008-12-28,,3123882835@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1006,2008-12-28,,3123882790@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1008,2008-12-28,,3123882782@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1011,2008-12-28,,3123882824@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1016,2008-12-28,,3123882061@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1017,2008-12-28,,3123882047@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1019,2008-12-28,,3123882804@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1024,2008-12-28,,3123882809@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1026,2008-12-28,,3123882051@uscc.net,SO-15Q,JBM shipped these routers on 12/29/08.
1140,2009-03-16,,3123883372@uscc.net,SO-78AA,SO-00078
1146,2009-03-16,,3123883497@uscc.net,SO-78AA,SO-00078
1159,2009-03-16,,3123883461@uscc.net,SO-78AA,SO-00078
1180,2009-03-16,,3123883428@uscc.net,SO-78AA,SO-00078
1221,2009-03-16,,3123883651@uscc.net,SO-78AA,SO-00078
1261,2009-03-17,,3123884535@uscc.net,SO-78AA,SO-00078
1281,2009-03-17,,3123883590@uscc.net,SO-78AA,SO-00078
1285,2009-03-17,,3123883621@uscc.net,SO-78AA,SO-00078
1302,2009-03-17,,3123883571@uscc.net,SO-78AA,SO-00078
1357,2009-03-17,,3123883085@uscc.net,SO-78AA,SO-00078
1362,2009-03-17,,3123883147@uscc.net,SO-78AA,SO-00078
1386,2009-03-18,,3123883064@uscc.net,SO-78AA,SO-00078

1414,2009-03-18,,3123884509@uscc.net,SO-78AA,SO-00078

1485,2008-10-21,,3123886427@uscc.net,SO-15Q,TEC : replacement for USCC billing plan change error.
1550,2008-10-08,,3123882149@uscc.net,SO-442G,SO-442
1551,2008-10-08,,3123882186@uscc.net,SO-442G,SO-442
1553,2008-11-05,,3123882343@uscc.net,SO-442G,SO-442
1558,2008-12-07,,3123882458@uscc.net,SO-531B,SO-531
1560,2008-12-07,,3123882447@uscc.net,SO-442G,SO-442
1561,2008-12-07,,3123882461@uscc.net,SO-442G,SO-442
1569,2009-02-22,,3123884073@uscc.net,SO-871D,SO-871
1576,2009-02-08,,3123884052@uscc.net,SO-751D,SO-751
1577,2009-02-08,,3123884137@uscc.net,SO-751D,SO-751
1588,2009-03-09,,3123884122@uscc.net,SO-871D,SO-871
1590,2009-03-09,,3123884139@uscc.net,SO-871D,SO-871
1591,2009-03-09,,3123884095@uscc.net,SO-751D,SO-751
1603,2009-05-10,,3123883681@uscc.net,SO-1156B,SO-1156
1605,2009-05-14,,3123884214@uscc.net,SO-1156B,SO-1156
1715,2009-03-03,,3123884274@uscc.net,SO-2595B,
1721,2009-05-27,,3123883765@uscc.net,SO-752B,
1723,2009-06-01,,3123884078@uscc.net,SO-752B,SO-00184
1725,2009-06-09,,3123886480@uscc.net,SO-872A,
