line_id,radius_username,esn_hex,serial_number,equipment_id,mac_addr
29466,2123350476@tsp17.sprintpcs.com,A10000157F25E2,732863,30143,0080440FED43
29468,2123900637@tsp17.sprintpcs.com,A10000157EDFB0,732457,30145,0080440FECCE
29469,2123900927@tsp17.sprintpcs.com,A10000157EE0A6,732451,30146,0080440FECD0
29458,2124989747@tsp17.sprintpcs.com,A10000157EE06A,732470,30135,0080440FECEB
29459,2126039405@tsp17.sprintpcs.com,A10000157EE070,732466,30136,0080440FED1E
29461,2126410087@tsp17.sprintpcs.com,A10000157EE095,732442,30138,0FECCA
29462,2126580026@tsp17.sprintpcs.com,A10000157EDFF3,732367,30139,0FED76
32954,2128589851@tsp17.sprintpcs.com,A10000157E3A95,760623,32975,10188C
29464,2129510888@tsp17.sprintpcs.com,A10000157F25EC,732856,30141,0FECC0
32968,3122170126@uscc.net,F616F63B,692849,18538,0080440F0D6B
9999,3122170389@uscc.net,F615C69D,613695,12145,0E1931
9892,3122170437@uscc.net,F615C733,613686,12146,0E1919
4910,3122170804@uscc.net,F615899B,641859,5083,0DDB3D
8071,3122171044@uscc.net,F615BAD1,643553,6814,0DE034
7584,3122171263@uscc.net,F615BAEE,643400,6816,0DE380
9203,3122171349@uscc.net,F615D63A,608254,7764,0E15FE
10010,3122171493@uscc.net,F615BAFF,643167,6820,0DE162
9024,3122171562@uscc.net,F615DB76,607881,8740,0E17DB
7615,3122171633@uscc.net,F615BCD3,643164,6822,0DE1FB
5352,3122171654@uscc.net,F61589B2,641885,5085,0DB1DF
9044,3122171684@uscc.net,F615D658,608283,7765,0E15B9
7911,3122171796@uscc.net,F615BCA3,643263,6828,0DDDC7
4911,3122171859@uscc.net,F6158991,641863,5086,0DDB5C
43760,3122171948@uscc.net,F615BCAC,643264,6834,0DDEB9
10118,3122172104@uscc.net,F615C951,614245,12348,0E07EB
10405,3122172154@uscc.net,F615C8FB,614293,12350,0E0755
44782,3122172334@uscc.net,F615C99A,614244,12355,0E07EA
9914,3122172368@uscc.net,F615C940,614253,12359,0E080E
10112,3122172380@uscc.net,F615C968,613897,12360,0E07DA
9980,3122172416@uscc.net,F615C988,613898,12362,0E07D9
10558,3122172544@uscc.net,F615C9D8,614268,12365,0E07F6
16274,3122172592@uscc.net,F615C97A,614236,12370,0E07E7
33019,3122172632@uscc.net,F615C9D9,614298,12372,0E0752
24080,3122172658@uscc.net,F616F5FF,692796,18543,0F0C76
10117,3122172718@uscc.net,F615C9A5,614262,12375,0E07F4
5501,3122172737@uscc.net,F61588BC,641549,4833,0DDA2D
9943,3122172765@uscc.net,F615C997,614231,12376,0E07E6
10284,3122172779@uscc.net,F615C9A2,614304,12378,0E07AA
10012,3122172789@uscc.net,F615C9A8,614279,12380,0E0804
5248,3122172795@uscc.net,F61588AE,641568,4834,0DE428
11485,3122172817@uscc.net,F615C9AC,614219,12381,0E074D
24288,3122172882@uscc.net,F616F629,692827,18545,0F0D73
10222,3122172919@uscc.net,F615C9B1,614288,12383,0E076A
11594,3122172932@uscc.net,F615C9B5,614278,12384,0E0806
11579,3122172951@uscc.net,F615C9B8,614269,12386,0E07FC
9915,3122172994@uscc.net,F615C9B6,614261,12388,0E080D
43123,3122173015@uscc.net,F61588BA,641754,4838,0DE411
10072,3122173027@uscc.net,F615D65A,608253,7800,0E15F8
10095,3122173043@uscc.net,F615C70B,613636,12150,0E1959
4812,3122173069@uscc.net,F61588AF,641557,4839,0DD9F6
9704,3122173075@uscc.net,F615D62A,608232,7801,0E15A3
10359,3122173172@uscc.net,F615886A,641756,4841,0DE484
9582,3122173198@uscc.net,F615D651,608302,7803,0E15DD
9929,3122173274@uscc.net,F615C6B6,613619,12153,0E08AB
5496,3122173302@uscc.net,F615886B,641540,4843,0DDC1C
41326,3122173352@uscc.net,F615885F,641759,4846,0DE49B
7488,3122173387@uscc.net,F6158869,641534,4848,0DDC2F
4944,3122173403@uscc.net,F61588A6,641814,4850,0DDA4F
9081,3122173469@uscc.net,F615D630,608277,7807,0E15BF
5273,3122173472@uscc.net,F61588A1,641526,4854,0DE3DA
4799,3122173497@uscc.net,F61588B1,641564,4855,0DE3E6
5497,3122173508@uscc.net,F615886E,641527,4856,0DE3D7
5146,3122173541@uscc.net,F615880E,641812,4861,0DDA44
9557,3122173563@uscc.net,F615D663,608227,7809,0E06E9
6742,3122173584@uscc.net,F61588AD,643657,4862,0DE406
36913,3122173610@uscc.net,F615888A,641567,4864,0DDA91
4913,3122173647@uscc.net,F615885E,641767,4866,0DDC08
4854,3122173668@uscc.net,F615887F,641768,4867,0DE4AF
5441,3122173787@uscc.net,F6158964,641883,5044,0DE45A
4794,3122173850@uscc.net,F615888E,641553,4875,0DD9FB
9952,3122173854@uscc.net,F615C6B7,613684,12159,0E192C
9654,3122173857@uscc.net,F615D655,608274,7812,0E15C1
9881,3122173918@uscc.net,F615C6BE,613622,12161,0E1964
4867,3122173973@uscc.net,F615896D,641867,5052,0DE473
5429,3122173975@uscc.net,F61589A0,641861,5053,0DDB5E
9887,3122174064@uscc.net,F615C75D,613712,12198,0E1924
10097,3122174082@uscc.net,F615C758,613669,12200,0E1932
12282,3122174108@uscc.net,F615F8BB,618513,13140,0E1D2A
10009,3122174146@uscc.net,F615C736,613820,12201,0E1944
15704,3122174270@uscc.net,F616E9BF,624517,15364,0E2139
